B._velezensis_strain_BS-G1.fna	B._velezensis_strain_DJ4.fna	97.5849	1242	1309
B._velezensis_strain_BS-G1.fna	B._velezensis_strain_SMU-T0423.fna	97.5543	1245	1309
B._velezensis_strain_BS-G1.fna	B._velezensis_strain_NJAU-Z9.fna	97.545	1244	1309
B._velezensis_strain_BS-G1.fna	B._velezensis_strain_Pm9.fna	97.5395	1237	1309
B._velezensis_strain_BS-G1.fna	B._subtilis_strain_SRCM116301.fna	81.2918	650	1309
B._velezensis_strain_BS-G1.fna	B._subtilis_strain_PK5_52.fna	81.2823	648	1309
B._velezensis_strain_BS-G1.fna	B._subtilis_isolate_NRS6105_NRS6105_1.fna	81.2452	639	1309
B._velezensis_strain_BS-G1.fna	B._subtilis_strain_YZ-1.fna	81.2104	681	1309
B._velezensis_strain_BS-G1.fna	B._subtilis_strain_K35-1.fna	81.2024	643	1309
B._velezensis_strain_BS-G1.fna	B._subtilis_strain_4ZT.fna	81.1286	656	1309
B._velezensis_strain_BS-G1.fna	B._halotolerans_strain_KKD1.fna	81.0858	727	1309
B._velezensis_strain_BS-G1.fna	B._paralicheniformis_strain_SUBG0010.fna	78.9585	362	1309
B._velezensis_strain_BS-G1.fna	B._sonorensis_strain_SRCM101395.fna	78.9058	337	1309
B._velezensis_strain_DJ4.fna	B._velezensis_strain_DJ4.fna	100	1335	1338
B._velezensis_strain_DJ4.fna	B._velezensis_strain_NJAU-Z9.fna	99.3578	1258	1338
B._velezensis_strain_DJ4.fna	B._velezensis_strain_Pm9.fna	99.3137	1243	1338
B._velezensis_strain_DJ4.fna	B._velezensis_strain_SMU-T0423.fna	99.2698	1260	1338
B._velezensis_strain_DJ4.fna	B._velezensis_strain_SCGB_574.fna	97.5838	1248	1338
B._velezensis_strain_DJ4.fna	B._velezensis_strain_BS-G1.fna	97.5439	1247	1338
B._velezensis_strain_DJ4.fna	B._velezensis_strain_Ag75.fna	97.4617	1253	1338
